product_id,date,daily_quantity_sold,daily_revenue
1,2024-01-01,5,170.6
1,2024-01-03,6,204.72
1,2024-01-04,14,475.53999999999996
1,2024-01-06,3,103.59
1,2024-01-07,5,165.15
1,2024-01-08,15,505.5
1,2024-01-10,6,208.74
1,2024-01-11,9,304.84000000000003
1,2024-01-12,12,408.83000000000004
1,2024-01-16,6,200.64
1,2024-01-17,2,68.92
1,2024-01-18,2,68.16
1,2024-01-19,6,200.1
1,2024-01-20,8,274.16
1,2024-01-23,5,171.85
1,2024-01-24,6,199.48000000000002
1,2024-01-25,12,402.76
1,2024-01-26,7,233.8
1,2024-01-31,5,164.5
1,2024-02-01,8,271.94
1,2024-02-03,7,235.69
1,2024-02-06,9,301.68
1,2024-02-07,6,208.86
1,2024-02-08,3,100.32
1,2024-02-09,7,240.59
1,2024-02-12,10,334.54
1,2024-02-15,7,231.07
1,2024-02-16,7,241.57
1,2024-02-25,6,197.34
1,2024-02-26,23,772.13
1,2024-02-27,7,237.98000000000002
1,2024-02-29,8,274.08
1,2024-03-01,8,271.74
1,2024-03-04,9,303.44
1,2024-03-07,6,199.74
1,2024-03-08,3,103.77
1,2024-03-09,5,168.85
1,2024-03-10,6,199.53
1,2024-03-13,7,241.99
1,2024-03-14,6,205.57999999999998
1,2024-03-16,3,102.93
1,2024-03-17,2,68.04
1,2024-03-18,9,299.24
1,2024-03-19,15,503.52
1,2024-03-20,3,99.03
1,2024-03-22,6,201.72
1,2024-03-23,7,240.44
1,2024-03-25,1,34.38
1,2024-03-27,4,137.8
1,2024-03-31,6,202.68
1,2024-04-02,9,305.3
1,2024-04-03,10,334.79999999999995
1,2024-04-04,1,33.34
1,2024-04-06,8,269.04
1,2024-04-07,4,138.44
1,2024-04-11,8,269.68
1,2024-04-13,8,266.72
1,2024-04-14,4,136.04
1,2024-04-18,10,334.2
1,2024-04-19,21,700.3299999999999
1,2024-04-20,6,202.68
1,2024-04-21,5,174.1
1,2024-04-22,6,206.82
1,2024-04-23,8,267.12
1,2024-04-24,1,34.26
1,2024-04-25,13,438.88
1,2024-04-26,7,231.63
1,2024-04-27,5,173.4
1,2024-04-28,20,676.02
1,2024-04-29,3,101.37
1,2024-05-02,5,172.85
1,2024-05-04,4,137.96
1,2024-05-05,10,344.01
1,2024-05-06,21,704.87
1,2024-05-09,11,369.35
1,2024-05-12,6,201.96
1,2024-05-17,3,101.43
1,2024-05-19,3,101.31
1,2024-05-20,7,233.46
1,2024-05-23,6,207.06
1,2024-05-24,2,68.5
1,2024-05-25,9,302.49
1,2024-05-26,5,171.45
1,2024-05-27,2,67.72
1,2024-05-28,14,476.24
1,2024-06-01,5,166.4
1,2024-06-02,9,306.75
1,2024-06-03,4,137.92
1,2024-06-04,12,399.35
1,2024-06-06,5,165.5
1,2024-06-07,6,208.32
1,2024-06-12,10,337.6
1,2024-06-13,6,204.54
1,2024-06-14,5,164.75
1,2024-06-16,10,333.9
1,2024-06-17,4,138.16
1,2024-06-21,17,573.88
1,2024-06-22,9,308.15999999999997
1,2024-06-24,8,266.88
1,2024-06-25,4,133.16
1,2024-06-26,4,134.96
1,2024-06-28,3,100.68
1,2024-06-29,2,67.76
1,2024-06-30,8,275.53
1,2024-07-01,8,275.6
1,2024-07-02,7,234.01
1,2024-07-04,9,309.9
1,2024-07-11,6,204.48
1,2024-07-12,4,136.04000000000002
1,2024-07-13,11,377.88
1,2024-07-14,3,102.27
1,2024-07-15,14,474.77
1,2024-07-16,3,103.35000000000001
1,2024-07-17,6,208.62
1,2024-07-18,6,203.7
1,2024-07-21,10,347.7
1,2024-07-22,14,476.62
1,2024-07-27,7,242.2
1,2024-07-28,2,69.38
1,2024-07-30,4,138.52
1,2024-08-06,7,235.97
1,2024-08-07,8,264.84000000000003
1,2024-08-08,16,543.22
1,2024-08-10,15,502.1
1,2024-08-12,8,278.48
1,2024-08-13,3,104.22
1,2024-08-15,6,207.3
1,2024-08-17,13,448.47
1,2024-08-19,5,170.0
1,2024-08-20,5,168.6
1,2024-08-21,16,543.59
1,2024-08-22,3,102.45
1,2024-08-25,15,514.05
1,2024-08-26,6,205.26
1,2024-08-27,4,137.44
1,2024-08-30,8,272.56
1,2024-09-01,6,207.84
1,2024-09-02,4,137.12
1,2024-09-04,9,309.90999999999997
1,2024-09-05,6,208.94
1,2024-09-06,2,69.4
1,2024-09-07,8,277.46999999999997
1,2024-09-10,2,68.94
1,2024-09-11,5,165.4
1,2024-09-12,9,298.49
1,2024-09-15,6,204.57
1,2024-09-18,4,135.24
1,2024-09-19,8,269.4
1,2024-09-22,7,243.6
1,2024-09-25,2,66.94
1,2024-09-28,5,167.35
1,2024-10-02,21,705.98
1,2024-10-04,11,377.98
1,2024-10-05,10,338.54
1,2024-10-07,4,139.2
1,2024-10-09,9,303.47
1,2024-10-10,4,133.0
1,2024-10-12,7,242.13
1,2024-10-14,3,98.76
1,2024-10-15,12,406.72
1,2024-10-18,16,545.0999999999999
1,2024-10-19,7,233.59
1,2024-10-21,2,68.56
1,2024-10-24,6,200.12
1,2024-10-25,10,337.4
